,id,frase,emotion
19,6,Dias de luz sempre retornam para quem iluminado está.,otimismo
20,137,O tempo passa e a amizade permanece. Você é meu grande amigo!,reflexao
21,244,"Amo o outono e as suas cores, e em cada folha encontro a beleza de uma flor.",bonitas
22,525,"Você sempre sabe quando você não fez o suficiente, mas você nunca sabe quando você fez demais.",reflexao
23,29,"A cada falha, um recomeço.",recomeco
24,390,"
Bebê agradece aos pais


                                    Mãe, pai,

Vocês são o meu pilar, o suporte que preciso para crescer de bem com a vida. Meu corpo é ainda muito pequeno – sou bebê, mas sinto que me coraçãozinho está cada vez maior e mais cheio de amor por vocês!

É tão bom perceber que vocês cuidam de mim com tanta dedicação e carinho! Sinto uma segurança que não tem preço, nem explicação. Sei que no frio e no calor, no outono ou na primavera, não importa como nem quando; mas sei que estaremos eternamente ligados.

Quero agradecer aos dois pela vida que tenho.
Serei sempre gratidão, serei sempre amor!                                


",pai
25,42,"Sexta-feira, no meu coração você é a primeira!",feira
26,451,"Eu vivo muito alegre, muito feliz, trabalho, tenho sempre muita gente em volta de mim, muita, muita gente na minha vida, é disso que eu gosto.",marcantes
27,79,"
Onde anda você?


                                    E por falar em saudade onde anda você
Onde andam seus olhos que a gente não vê
Onde anda esse corpo
Que me deixou louco de tanto prazer
E por falar em beleza onde anda a canção
Que se ouvia na noite dos bares de então
Onde a gente ficava,onde a gente se amava
Em total solidão
Hoje eu saio da noite vazia
Numa boemia sem razão de ser
Na rotina dos bares,que apesar dos pesares
Me trazem você
E por falar em paixão, em razão de viver
Você bem que podia me aparecer
Nesses mesmos lugares, na noite, nos bares
Onde anda você.


 


",saudades
28,469,"Se a tua vida depender do meu amor, viverás além da vida, pois te amo além do amor.",romanticas
29,16,Todo chamado é grandioso quando se tenta atendê-lo com grandiosidade.,filosoficas
30,247,Prometo amar você até que o amor desapareça do mundo em que vivemos!,romanticas
31,175,"
Lembranças dos Velhos Tempos


                                    Abro os olhos para tocar você
Sentir o seu rosto perto do meu
Sentir o doce mel da sua boca
E saber que tudo é real!
Andar ao seu lado
Seguir os seus passos
Ouvindo dizer que me amas
E saber que tudo é real!
Ao menos percebo 
E já está longe
Não posso mais beijá-la,
Nem ouvi-la, nem tocá-la,
E saber que tudo é real!
Percebendo que tudo se foi
Fecho os olhos para vê-la
E sabendo que o seu amor 
Já não existe, durmo... 
Pois sei que está em meus sonhos
E que agora tudo é fantasia
Uma ""fantasia real""!
Porém sei que amar é necessário
E que apesar da distância
Existe uma realidade
Aquela que um dia me amou
E que sempre irá estar aqui
Dentro de mim.
Então vou gritar seu nome
Porque sei que apesar da distância
O seu sorriso será sempre um oásis
Que anima o meu corpo
E conforta a minha alma
E então digo: Te Amo!                                


",saudades
32,6,"O autor que se julga um grande escritor, além de antipático é burro. Um escritor só pode ser julgado depois da sua morte. Muito tempo depois.",sabedoria
33,394,O amor acontece sempre que os olhares se cruzam e o coração bate mais forte.,romanticas
34,19,Confiar nos planos de Deus é o melhor dos suspiros.,deus
35,178,"Insista, persista e nunca desista.",autoajuda
36,147,"
Até breve e obrigado de coração


                                    Este adeus é, na verdade, um até breve e aproveito para deixar um muito obrigado do fundo do meu coração.                                


",agradecimento
37,22,"Eu sabia que era você... Sabia por causa do beijo, por causa dos olhos, por causa das mãos. Eu sabia por que a gente se encaixa perfeitamente um no outro.",apaixonadas
38,315,"
Obrigada por tudo, meu noivo


                                    Meu amor, você é meu mundo, meu universo, e habitar neles é a única forma possível de viver. Você não me deu o dom da vida, mas me ensinou a desfrutar devidamente dela e por isso, e por tudo, eu lhe agradeço!

Obrigada, meu amor, por construir esta enorme quantidade de maravilhosos momentos ao meu lado. Obrigada por me fazer sorrir, por todos os dias e durante todo o dia encher meu coração de exultante alegria com a sua existência. Obrigada por caminhar ao meu lado, e por estar disposto a prolongar essa caminhada indefinidamente.

Eu te amo, muito! E lhe agradeço ainda mais por me fazer tão feliz, e por ter dado um significado tão maior e mais profundo à minha vida.                                


",agradecimento
39,103,"
Obrigado, Pai!


                                    Pai, agradeço a você por tudo o que hoje sou. Se sei o que é ser uma mulher independente, de caráter e personalidade, é porque você me fez assim. 

Só eu sei o quanto está sendo difícil esta vida sem você, sem ter o meu porto seguro, sem ter para onde correr quando sinto medo à noite, sem ter o seu colo quentinho para deitar e chorar quando o peito está apertado, cheio de tristezas.

Mas o que fazer se essa tristeza toda é de saudade de você? Não culpo Deus por tê-lo levado, se isso aconteceu foi porque estava merecendo o seu descanso e a paz. 

Descanso de uma vida cheia de preocupações e muito trabalho. Sim, porque foi isso que vi a vida inteira. Você trabalhava e, mesmo assim, vivia preocupado se estávamos tendo a vida que queríamos. Sempre me deu tudo de melhor. 

Você foi e sempre será o melhor pai do mundo. Queria muito ter dito isso olhando nos seus olhos, mas nunca tive coragem. Sei que deve estar vendo eu digitar esse texto, por isso direi: Eu Te Amo!                                


",mensagens pais
40,33,Eles já nascem sabendo amar de um jeito que nós levamos a vida inteira para aprender.,legais
41,9,Extremamente feliz por tudo o que carrego no coração!,positividade
42,5,As 49 melhores frases para irmãs cheias de amor para você demonstrar todo seu carinho fraternal,padrasto coracao
43,125,"Posso não ter escolhido o melhor caminho, mas foram os desvios que me trouxeram ao destino no momento certo.",inspiradoras
44,12,"Eu não tenho muitas respostas. O que eu tenho é fé. E uma vontade bonita, toda minha, de crescer.

 ",otimismo
45,301,"
A Invasão da Saudade


                                    Por vezes as saudades invadem o coração de um jeito que não dá para descrever! Gostaria tanto que vocês vivessem mais perto, meu filhos! Vocês são tudo para mim, são a minha vida e todo o propósito de deitar a acordar. 

A distância está carregada de negridão, mas o que nos salva é a luz do amor que nos une, meu filhos! E vai ser sempre assim. Não vejo a hora de ter vocês nos meus braços! Até breve, meus amores!                                


",saudades
46,61,Que as coisas boas se multipliquem!,legais
47,235,A união de qualquer amor é sempre obra de companheirismo.,romanticas
48,88,"Quebre as regras: perdoe rapidamente, beije lentamente, ame de verdade e ria descontroladamente.",autoajuda
49,6,"O mais valioso dos bens, depois da saúde, é a paz interior.",perfeitas
50,48,"
Uma Amiga Que Nunca Desiste


                                    O segredo é nunca desistir. Nunca baixar os braços e olhar de frente para a dificuldade – olhos nos olhos! Você vai conseguir realizar seus sonhos, querida amiga, tenho certeza! 

É que você é forte, batalhadora e tem um coração do seu tamanho. O sucesso vai chegar em breve! Até lá, continue conquistando seu lugar com tranquilidade. Sinto um enorme orgulho em você, minha querida. Beijo!                                


",otimismo
51,303,"
Vá com alegria e paz no coração para um novo dia


                                    Abra os olhos, deixe a luz natural inundar o seu cérebro; respire bem fundo e sorria, pois um novo dia está começando!

Muitos tentam corromper a vida com suas atitudes e comportamentos negativos, mas você sabe que este é um mundo maravilhoso. Mas é preciso lutar por ele.

Por isso vá com alegria e paz no coração espalhar a sua esperança e positividade por todos que hoje se cruzarem com você. E no final do dia o mundo será um lugar melhor!                                


",otimismo
52,203,Suba o primeiro degrau com fé. Não é necessário que você veja toda a escada. Apenas dê o primeiro passo.,reflexao
53,300,"
O melhor ainda está para chegar


                                    Acredite que coisas boas estão para chegar à sua vida. Às vezes a dificuldade está em não sabermos esperar e querermos desesperadamente que tudo aconteça do jeito que idealizamos. Contudo, a paciência e a persistência sempre trazem frutos e nós devemos cultivar essas atitudes dia após dia.

Tudo tem o seu tempo, tudo acontece quando tem que acontecer. Viva o presente aproveitando os instantes bons que vão surgindo. Talvez esteja reservado para você um amanhã pleno de felicidade. 


",otimismo
54,432,"Frase pronunciada em 1967, querendo aludir que o aprendizado para ele jamais cessa, não importa a idade.",marcantes
55,99,"
Não posso aceitar a ingratidão de certas pessoas

 


                                    Eu posso fazer muitas coisas pelas pessoas e relevar muitas palavras, mas se tem algo que eu não aceito, é alguém ser ingrato comigo. 

Eu me dedico demais a tentar fazer sempre o melhor para todos, e não posso aceitar que levem isso como se fosse nada.

Gosto de ouvir palavras de agradecimento, pelo menos. E quem não sabe valorizar as pessoas, que desapareça de minha vida!                                


",agradecimento
56,28,Não somos ricos pelo que temos e sim pelo que não precisamos ter.,inteligentes
57,38,"Saúde, alegria e o amor de uma família abençoada: o que posso mais querer para ser feliz?",bonitas
58,56,"Independente do que estiver sentindo, levante-se, vista-se e saia para brilhar.",autoestima
59,32,"Se apaixone por alguém que te faça rir dos seus próprios erros, que te aceite do jeito que você é.",autoestima
60,76,"A má notícia é que o tempo voa. A boa, é que você é o piloto.",reflexao
61,253,"Meus olhos foram criados apenas para te enxergar, meus lábios para te beijar e meu coração para te amar.",romanticas
62,189,"
Expressar o amor que sinto por você


                                    Feliz Dia dos Namorados, Amor! Encontrar palavras que consigam expressar de forma fiel tudo o que sinto por você é impossível. 

Pois é tão grande e intenso o sentimento que tenho por você. E pode ter certeza que é eterno e será resistente ao tempo e a qualquer obstáculo. 

Você me faz feliz, sorrir de orelha a orelha, e porque tenho você ao meu lado nada parece impossível ou difícil de superar. Te Amo!                                


",proibido
63,33,Esperanças são essas coisinhas cheias de magia que nunca faltam em nossos corações.,esperanca
64,137,"
Meu amor perfeito, meu marido dos sonhos


                                    Dar uma chance ao amor é abrir as portas do coração para a felicidade. Eu abri as portas e as janelas do meu coração e deixei você entrar, deixei a luz do amor entrar na minha vida. Você trouxe cor para o meu viver, trouxe sonhos para a minha realidade, trouxe entusiasmo para a minha jornada diária. 

Você é o meu amor perfeito, é o marido dos sonhos de qualquer mulher. Você me faz sentir especial, única e amada, me faz ter coragem de lutar para realizar o impossível. Você é meu companheiro para toda hora, com você sou mais forte, pois somos dois e somos um. 

Você merece todo o meu carinho, amor e respeito, pela pessoa maravilhosa que é e pelo parceiro de vida. Eu sou grata por ter o privilégio de dividir a minha vida com você.

Te amo do fundo do meu coração!                                


",proibido
65,267,"
O Peso da Despedida


                                    Posso superar o peso de uma despedida, mas jamais vou esquecer aqueles que partiram.                                


",saudades
66,10,"As razões da honra não têm coerência. Mas os povos não podem prescindir da honra, pagaremos caro termos acreditado em nós em vez de nela.",otimismo
67,213,"
Volte Logo, Já Sinto Sua Falta


                                    Até breve, meu pai! Você ainda nem foi e eu já estou morrendo de saudade. Não vai ser fácil acordar pela manhã e saber que não tenho seu abraço ou que não vou poder olhar em seu rosto, mas a vida é feita de opções, de surpresas e novidades. 

É por isso isso que tenho certeza que essa sua viagem vai ser muito importante para todos. Volte logo, pai! Boa viagem!                                


",pai
68,87,Você nunca sai perdendo quando ganha conhecimento!,marcantes
69,247,Nunca houve criança tão amável a ponto da própria mãe não ficar satisfeita ao conseguir adormecê-la.,otimismo
70,42,"Um namoro não pode ser visto como a única forma de alcançar a felicidade. Quem não consegue ser feliz sozinho, também não vai ser feliz namorando.",otimismo
71,238,"
Meu pai não está mais aqui, mas celebro esta data


                                    Hoje, me cerco de fé e de orações para celebrar um dia sem meu pai. Ele já partiu deixando aqui lembranças queridas e muitas pessoas que o amavam muito.

Não posso deixar de fazer a minha homenagem ao homem que meu pai foi. Ele me ensinou muito, me ensinou o caminho da fé, me ensinou a orar e me ensinou a sempre acreditar.

Ele foi um homem abençoado e neste dia especial, sinto muito a sua falta.                                


",pai
72,41,A esperança vence o medo!,esperanca
73,42,"Queria te chamar de anjo, mas nem um anjo se compara a sua beleza.",impacto
74,31,"Nem com todas as palavras do mundo vou conseguir expressar o que sinto por você, nem todos os segundos de inúmeras horas serão suficiente para estar ao teu lado.",apaixonadas
75,30,"Para haver superação é preciso deixar toda a mágoa no passado, para sentir a leveza da liberdade e conseguir receber de braços abertos as boas energias que esperam por você numa vida feliz e contente.",otimismo
76,455,"
A todos vocês, a minha gratidão


                                    Hoje estou profundamente feliz e a Deus devo tudo e agradeço profundamente. Foi Ele que me ajudou a realizar este grande sonho.

À minha universidade que sempre me disponibilizou as ferramentas certas e o melhor conforto que poderia desejar, deixo também uma palavra de gratidão.

Aos professores que me ensinaram e deram força, mesmo nas horas em que desistir seria mais fácil.

Os meus pais e familiares próximos, bem como todos os meus amigos, sempre me incentivaram, por isso merecem minha eterna gratidão. Sem eles teria sido impossível!

Quem não mencionei, mas fez parte do meu percurso, seja de que forma for, que saiba que meu coração será sempre grato. 


",agradecimento
77,43,Deixe os sonhos tomarem conta de você. Os sonhos são necessários à vida. Que os anjos embalem seu sono e joguem fora tudo de ruim do dia que passou.,noite
78,354,"O caráter pode se manifestar nos grandes momentos, mas ele é formado nos pequenos.",reflexao
79,523,"A sua opinião até tem interesse para mim, basta que a guarde para você!",reflexao
80,375,"Nem sempre tenho as melhores atitudes, nem sempre faço o que está certo, mas o que sai de mim é genuíno, é tudo que tenho para dar.",marcantes
81,1,"Faça o que puder, com o que você tem, onde estiver.",positivas
82,23,"Ei, não desista! Você pode suportar tudo!",perfeitas
83,177,"
Durma bem, amor, e sonhe comigo


                                    Meu amor, durma bem e sonhe comigo, ou então sonhe com nós dois e com toda paixão que nos une desde o primeiro instante que nosso olhar se cruzou. Boa noite, princesa!

Todos os dias eu me sinto feliz e faço até uma oração de agradecimento pela sorte que é viver esta grande e bela história de amor com você. Somos abençoados, profundamente afortunados com este namoro.

É esse pensamento que eu tenho, todas as noites, antes de cair em um sono descansado e recuperador. Faça como eu e imagine como será nosso amanhã, o momento seguinte, o ano depois, o que quiser.

Faça como eu, amor, e viva feliz!
Bons sonhos. 


",agradecimento
84,102,"Esta beleza é um anjo na Terra, um ser lindo e iluminado pelo bem. Que seja sempre muito feliz!👼",bonitas
85,202,Um amor não correspondido transformou meu coração apaixonado em um coração partido.,romanticas
86,179,"
Bodas de sonhos e um namoro apaixonado


                                    Feliz bodas de sonhos para nós que hoje celebramos 6 meses de namoro felizes e apaixonados. Eu te amo!                                


",amor
87,10,35 declarações de amor apaixonantes para você se inspirar,padrasto coracao
88,384,"Uma amizade eterna não precisa ser provada todos os dias, mas sim quando alguém está precisando.",marcantes
89,27,Não dê ao seu passado o poder de definir o seu futuro.,sabedoria
90,28,"
Sou Sua e Você é Meu


                                    Eu sou a pessoa mais realizada do mundo porque tenho o namorado mais especial que existe ao meu lado. Eu gosto de você; de sentir que sou sua e de amar e amar o ser humano mais perfeito que um dia encontrei. 

Por isso nunca desista de mim! Eu prometo que vou fazer de você o homem mais feliz e realizado. Sim, porque só a sua felicidade me dá o sossego que preciso para me sentir em paz.                                


",declaracao amor
91,366,As noites de verão trazem sempre ventos que podem realizar sonhos de amor.,romanticas
92,426,"A perfeição nunca me atraiu, prefiro um amor cheio de erro como o nosso do que algo exemplar com outra pessoa.",romanticas
93,180,"
Nosso Futuro


                                    Primeiro nossos corações se uniram e, começando a bater em conjunto, se tornaram em um só. Depois nossas mãos se apertaram uma na outra e não mais se separaram, e de duas vidas fizemos uma.

Saber que caminhamos lado a lado, na mesma direção, com o meu objetivo, é sentir em plenitude o doce sabor da felicidade, é olhar o futuro, o nosso futuro, com esperança no olhar, alegria no coração e um grande sorriso nos lábios.

Sou feliz porque tenho você do meu lado, porque a vida que é só minha a posso compartilhar e dividir com a sua que é só sua. Eu te amo! Tanto! Ao seu lado sinto que tudo é possível, que qualquer sonho se pode realizar, que não existe obstáculo impossível de ultrapassar. 

Anseio pelo futuro, pelo nosso futuro, com todo o meu ser, porque amo você, porque a vida do seu lado faz todo o sentido!                                


",amor
94,0,Seja feliz. Não aceite menos que isso.,alegria
95,357,"
Mil motivos para te amar

 


                                    Eu te amo, tu sabes que eu te amo. Eu te amo desde o primeiro dia, mesmo quando ainda não o sabia. Desconhecia que nesse teu coração havia algo capaz de me atrair, mas o tempo não me quis mentir e eu descobri que te queria só para mim.

Eu te amo desde então, hoje, amanhã e para sempre. Nada será capaz de mudar o que sinto, pois este amor é tudo, essencial para aquilo que sou.                                


",amor
96,5,Mundo das Mensagens,proibido
97,44,"
Tudo o que eu quero é ter você de volta


                                    Enquanto eu respirar este ar de paixão e as saudades consumirem minha alma, não vou conseguir ficar de braços cruzados, deixando que o tempo leve você para longe de mim. Tudo o que eu sinto é verdadeiro amor, um sentimento que não desapareceu, mesmo que o nosso relacionamento tenha terminado.

Ainda é possível voltarmos e esquecermos o que nos fez tomar rumos opostos. Só quero ter você de volta na minha vida e mostrar como juntos podemos ser felizes. 


",saudades
98,34,"
Perdido de Amor


                                    Perdido estou
Minhas palavras são suas 
Suas lágrimas são minhas 
Não encontro saída 
A cada sorriso seu 
me encontro mais perdido 
Sinto o seu cheiro na minha pele
Ouço a sua respiração 
Ele é sempre assim 
Quando chega tudo fica confuso
Tudo me faz lembrar você 
Esse é o seu principal sintoma 
E eu mais um infectado 
Mesmo assim estou feliz 
Pois hoje sei que te amo e
te sinto a todo momento em mim.                                


",amor
99,440,Trabalha como se vivesses para sempre. Ama como se fosses morrer hoje.,marcantes
100,104,Gentileza gera gentileza!,autoajuda
101,328,A melhor definição de amizade são os momentos maus que vencemos unidos e os instantes de felicidade que juntos compartilhamos.,reflexao
102,585,"Nossa amizade é mágica e me mantém viva, desperta e feliz!",marcantes
103,159,"Aquela ilusão que vive ao nosso lado desde sempre, e outras criadas por nossa alma a cada necessidade do espírito, se transformam na essência que irá reger o prazer, a felicidade e a beleza de uma vida plena.",bonitas
104,114,"Podemos escolher o que semear, mas somos obrigados a colher aquilo que plantamos.",bonitas
105,343,"
Amo você e estou morrendo de saudades suas


                                    Meu amor, tudo que eu mais queria neste momento era poder correr até aos seus braços e neles me aconchegar eternamente. Sinto tantas saudades suas! 

Tantas e tão intensas que chego a acreditar que antes de conhecer você jamais havia sentido saudades de verdade. 

Sinto falta do seu carinho, das suas palavras, do seu olhar doce e meigo. Sinto falta de tudo em você e de nós dois juntos. 

Amo você e estou morrendo de saudades suas!                                


",saudades
106,34,"Não sei o que me espera amanhã, mas estou em paz, pois sei que Deus tem o melhor para mim.",fe
107,343,"
O valor da nossa amizade


                                    Sempre me admiro quando penso na nossa amizade porque ela parece crescer, a despeito de qualquer coisa que possa nos afastar.

E mesmo que nós fiquemos algum tempo sem nos vermos, só é preciso um momento para que o meu pensamento encontre você outra vez.

A nossa amizade sempre foi uma parte muito especial da minha vida, e sempre vou agradecer por isso, e também porque você existe.                                


",agradecimento
108,256,"É difícil acreditar que um homem esteja a dizer a verdade, quando você sabe muito bem que mentiria se estivesse no lugar dele.",otimismo
109,13,O para sempre é composto de agoras.,motivacao
110,313,"
A Urgência da Paz


                                    Hoje, o dia é de oração! É tempo de encarar a realidade da vida, o ciclo do tempo e aceitar que quem parte, só perde o corpo. 

São inúmeras lembranças, vozes e imagens infinitas que invadem o pensamento e fazem chorar o coração apertado de saudade. Mas sobra a paz, aquela paz que é tão urgente para quem vai e para quem fica tentando entender a lógica da vida. Até um dia!                                


",saudades
111,498,"
Aprender a Ser Feliz


                                    Você merece meu obrigada, querido pastor! É o mínimo que posso fazer para lhe agradecer tudo que faz por mim. Voltei de novo a sorrir, sabe? A ganhar confiança em mim, a acreditar que o mundo é um local onde vale a pena ser feliz. 

Isso não tem preço, meu pastor! A paz interior é o maior bem que possuo hoje, e só sinto essa harmonia porque você me ensinou a descobrir meu espaço no mundo. Te devo tudo, pastor!                                


",agradecimento
112,241,"Na vida o plantio é opcional, porém, a colheita é obrigatória. Por isso tome cuidado com o que você planta porque o que você plantar, você vai colher.",reflexao
113,128,"
O Cume do Seu Sonho


                                    Você vai atingir tudo que deseja na vida! Conheço seu jeito de viver, sua forma de encarar seus sonhos e objetivos, e principalmente conheço sua força e empenho. Você é um guerreiro, meu amor! 

Eu sei o quanto você luta por atingir o sucesso e a realização profissional, sou testemunha da sua grande vontade. E só posso dizer torço para tudo se realize, meu bem! Vou estar sempre do seu lado, na luta e na vitória!                                


",otimismo
114,118,O único lugar onde o sucesso vem antes do trabalho é no dicionário.,inspiradoras
115,164,"
Somos testemunha do amor e do poder de Jesus, amigos 


                                    Meus amigos queridos, nunca é demais lembrar que os exemplos que Jesus nos deu com suas palavras e ações é tudo que precisamos para encontrar conforto e motivação. Ele está conosco onde quer que vamos.

Mesmo aqueles que ainda não tem Jesus no coração um dia o farão, pois sua luz brilha tanto que é impossível não enxergá-la.

Amigos, nós já somos testemunha do amor de Jesus e do seu poder! Ele está dentro de nós!                                


",proibido
116,353,"
Obrigado Por Você Existir

 


                                    Difícil é transmitir com palavras 
o que sinto por você.
Isso não é nem o começo, 
muito menos o fim.
O carinho que tenho por você 
é o mesmo que tem por mim.
Obrigado por você existir!

Saiba que está sempre presente 
em meus pensamentos.
Encontramos pessoas que sabem fazer 
de pequenos instantes grandes momentos.
Tudo é questão de tempo!

Nada pode apagar uma história.
As coisas boas que passaram 
ficaram na memória.
Continue sendo essa pessoa maravilhosa
E lembre-se que aqui tem 
uma pessoa que muito adora você!

Pode sempre contar comigo, 
pois estarei sempre com você
Em qualquer momento, 
em qualquer situação
Nem com o passar do tempo, 
você sairá do meu coração.

Agradeço tudo que já fez por mim, 
por me ouvir, por me fazer sorrir! 
E outras coisas que aprendi com você.
E mais uma vez: obrigado por existir!                                


",agradecimento
